model\imt,SA10P0,SA7P5,SA5P0,SA4P0,SA3P0,SA2P0,SA1P5,SA1P0,SA0P75,SA0P5,SA0P4,SA0P3,SA0P25,SA0P2,SA0P15,SA0P1,SA0P075,SA0P05,SA0P04,SA0P03,SA0P025,SA0P02,SA0P01,PGA,PGV
1,0.1295,0.1246,0.1419,0.1462,0.1366,0.1229,0.14,0.1474,0.1634,0.1605,0.146,0.1551,0.1499,0.1301,0.121,0.1545,0.1602,0.1409,0.1507,0.1524,0.1328,0.1504,0.1347,0.1514,0.1364
2,0.0998,0.1014,0.0945,0.0898,0.0671,0.0841,0.0608,0.0814,0.0716,0.0768,0.0838,0.0752,0.071,0.0762,0.1304,0.0973,0.0996,0.0968,0.0922,0.0931,0.0922,0.1018,0.128,0.1292,0.0821
3,0.0797,0.0769,0.0895,0.0874,0.0829,0.0858,0.0842,0.09,0.0866,0.078,0.0801,0.0946,0.0863,0.0685,0.0884,0.0838,0.0941,0.0802,0.0825,0.0785,0.0759,0.0884,0.1097,0.1102,0.0778
4,0.0672,0.0632,0.0582,0.0639,0.0753,0.0896,0.1118,0.0827,0.085,0.0808,0.0902,0.0808,0.0863,0.0912,0.0592,0.07,0.0577,0.0605,0.051,0.0537,0.0433,0.0556,0.0524,0.0486,0.0782
5,0.0735,0.0794,0.082,0.0819,0.0839,0.0866,0.0927,0.0788,0.0885,0.0952,0.0899,0.0901,0.0941,0.0834,0.0589,0.0785,0.0577,0.0733,0.0688,0.0745,0.0684,0.0838,0.0708,0.0554,0.072
6,0.086,0.0791,0.0591,0.0593,0.0465,0.0626,0.0435,0.0512,0.0555,0.0614,0.0593,0.0466,0.0439,0.0543,0.0998,0.0805,0.0732,0.0823,0.0747,0.0762,0.0717,0.0674,0.0941,0.0978,0.0928
7,0.069,0.0672,0.0387,0.0387,0.0243,0.0385,0.0291,0.0342,0.0369,0.0634,0.0459,0.045,0.0416,0.0529,0.0414,0.0506,0.0367,0.0695,0.0671,0.0594,0.0779,0.0811,0.0745,0.0731,0.0741
8,0.0756,0.0825,0.0762,0.0677,0.0484,0.0441,0.0435,0.0552,0.0453,0.067,0.0566,0.0724,0.0665,0.0754,0.0531,0.0512,0.0441,0.0663,0.0785,0.0611,0.0773,0.0802,0.0774,0.0698,0.0767
9,0.051,0.0475,0.0882,0.0831,0.0907,0.0706,0.0814,0.0703,0.0666,0.0568,0.0608,0.0851,0.073,0.0545,0.05,0.06,0.0637,0.0571,0.0613,0.0534,0.0486,0.0504,0.0582,0.0666,0.0944
10,0.0543,0.0543,0.0655,0.071,0.1015,0.0763,0.0761,0.0783,0.0617,0.051,0.0521,0.047,0.0515,0.0728,0.0714,0.0593,0.0525,0.0525,0.0458,0.0451,0.0481,0.0438,0.0327,0.0344,0.0763
11,0.0824,0.0867,0.0671,0.0657,0.0873,0.0843,0.0842,0.0854,0.0821,0.0822,0.0829,0.0506,0.0556,0.085,0.1242,0.1002,0.147,0.0881,0.097,0.1048,0.0986,0.073,0.0592,0.0739,0.0653
12,0.0592,0.0653,0.0598,0.0583,0.0803,0.0816,0.0913,0.0794,0.0914,0.0611,0.0897,0.0856,0.1055,0.0861,0.055,0.057,0.0712,0.0622,0.054,0.0646,0.0922,0.0547,0.0476,0.0528,0.0337
13,0.0728,0.0719,0.0793,0.087,0.0752,0.073,0.0614,0.0657,0.0654,0.0658,0.0627,0.0719,0.0748,0.0696,0.0472,0.0571,0.0423,0.0703,0.0764,0.0832,0.073,0.0694,0.0607,0.0368,0.0402
