T,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
PGA,-3.512,0.904,-1.328,0.149,0.647,1.125,-0.112,-0.0957,0.44,-0.171,0.405,-0.222
0.05,0.05,0,0,-0.0011,0.000055,0.2,0,0,0,0,0,0
0.075,0.27,0,0,-0.0024,0.000095,0.22,0,0,0,0,0,0
0.1,0.48,0,0,-0.0024,0.000007,0.14,0,0,0,0,0,0
0.15,0.72,0,0,-0.001,-0.00027,-0.02,0,0,0,0,0,0
0.2,0.79,0,0,0.0011,-0.00053,-0.18,0,0,0,0,0,0
0.3,0.77,0,0,0.0035,-0.00072,-0.4,0,0,0,0,0,0
0.5,-0.28,0.74,0.66,0.0068,-0.001,-0.42,0.25,0.62,0,0,0,0
0.75,-1.08,1.23,0.66,0.0077,-0.001,-0.44,0.37,0.62,0,0,0,0
1,-1.79,1.59,0.66,0.0085,-0.001,-0.38,0.57,0.62,0,0,0,0
1.5,-2.65,1.98,0.66,0.0094,-0.001,-0.32,0.72,0.62,0,0,0,0
2,-3.28,2.23,0.66,0.01,-0.001,-0.36,0.83,0.62,0,0,0,0
3,-4.07,2.39,0.66,0.0108,-0.001,-0.22,0.86,0.62,0,0,0,0
4,-4.26,2.03,0.66,0.0112,-0.001,-0.3,1.05,0.62,0,0,0,0
