T,c4,a1,a2,a3,a4,a5,a6,a9,a10,a11,a12,a13,c1,c5,n,b5,b6
5,3.5,-1.46,0.512,-0.725,-0.144,0.4,-0.2,0,0.664,0.04,-0.215,0.17,6.4,0.03,2,0.89,0.087
4,3.5,-1.13,0.512,-0.725,-0.144,0.4,-0.2,0.039,0.64,0.04,-0.1956,0.17,6.4,0.03,2,0.88,0.092
3,3.5,-0.69,0.512,-0.725,-0.144,0.4,-0.156,0.089,0.63,0.04,-0.1726,0.17,6.4,0.03,2,0.87,0.097
2,3.5,-0.15,0.512,-0.725,-0.144,0.4,-0.094,0.16,0.61,0.04,-0.14,0.17,6.4,0.03,2,0.85,0.105
1.5,3.55,0.26,0.512,-0.7721,-0.144,0.438,-0.049,0.21,0.6,0.04,-0.12,0.17,6.4,0.03,2,0.84,0.11
1,3.7,0.828,0.512,-0.8383,-0.144,0.49,0.013,0.281,0.423,0,-0.102,0.17,6.4,0.03,2,0.83,0.118
0.75,3.9,1.16,0.512,-0.8852,-0.144,0.528,0.057,0.331,0.32,-0.05,-0.0862,0.17,6.4,0.03,2,0.81,0.123
0.6,4.12,1.428,0.512,-0.9218,-0.144,0.557,0.091,0.37,0.194,-0.089,-0.074,0.17,6.4,0.03,2,0.81,0.127
0.5,4.3,1.615,0.512,-0.9515,-0.144,0.581,0.119,0.37,0.085,-0.121,-0.0635,0.17,6.4,0.03,2,0.8,0.13
0.4,4.52,1.86,0.512,-0.988,-0.144,0.61,0.154,0.37,0.065,-0.16,-0.0518,0.17,6.4,0.03,2,0.79,0.135
0.3,4.8,2.114,0.512,-1.035,-0.144,0.61,0.198,0.37,-0.219,-0.195,-0.036,0.17,6.4,0.03,2,0.78,0.135
0.2,5.1,2.406,0.512,-1.115,-0.144,0.61,0.26,0.37,-0.445,-0.245,-0.0138,0.17,6.4,0.03,2,0.77,0.135
0.15,5.27,2.407,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.577,-0.28,0.005,0.17,6.4,0.03,2,0.75,0.135
0.1,5.5,2.16,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.598,-0.28,0.028,0.17,6.4,0.03,2,0.74,0.135
0.075,5.58,2.037,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.628,-0.28,0.03,0.17,6.4,0.03,2,0.73,0.135
0.05,5.6,1.87,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.62,-0.267,0.028,0.17,6.4,0.03,2,0.71,0.135
0.04,5.6,1.78,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.555,-0.251,0.0245,0.17,6.4,0.03,2,0.71,0.135
0.03,5.6,1.69,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.47,-0.23,0.0143,0.17,6.4,0.03,2,0.7,0.135
0.02,5.6,1.64,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.417,-0.23,0,0.17,6.4,0.03,2,0.7,0.135
0.01,5.6,1.64,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.417,-0.23,0,0.17,6.4,0.03,2,0.7,0.135
PGA,5.6,1.64,0.512,-1.145,-0.144,0.61,0.26,0.37,-0.417,-0.23,0,0.17,6.4,0.03,2,0.7,0.135
