T,c0,c1,c2,c3,c4,phi,tau,sigma
PGA,-2.376,1.818,-0.1153,-1.752,-0.002,0.28,0.24,0.37
PGV,-4.151,1.762,-0.09509,-1.669,-0.0006,0.27,0.19,0.33
0.03,-2.283,1.842,-0.1189,-1.785,-0.002,0.28,0.27,0.39
0.05,-2.018,1.826,-0.1192,-1.831,-0.002,0.28,0.3,0.41
0.1,-1.954,1.83,-0.1185,-1.774,-0.002,0.29,0.25,0.39
0.2,-2.266,1.785,-0.1061,-1.657,-0.0014,0.3,0.21,0.37
0.3,-2.794,1.852,-0.1078,-1.608,-0.00105,0.3,0.19,0.36
0.5,-3.873,2.06,-0.1212,-1.544,-0.0006,0.29,0.2,0.35
1,-4.081,1.742,-0.07381,-1.481,0,0.26,0.22,0.34
2,-4.462,1.485,-0.03815,-1.361,0,0.24,0.23,0.33
3,-3.827,1.06,0.009086,-1.398,0,0.24,0.22,0.32
5,-4.321,1.08,0.009376,-1.378,0,0.25,0.18,0.31
