T,c1,c3as,c5,c8,c10as,c11,c13y,c15,c17,c20,c24,c29,c30as,c33as,c43,c46,sigma6,sigSlope,tau
PGA,0.28815,0,-0.00967,-0.70494,5.6,8.68354,0,-2.552,-2.56727,0.0155,-0.50962,0.30206,-0.23,0.26,-0.31769,-0.03279,0.4865,-0.1261,0.2687
0.075,1.36561,0.03,-0.00889,-0.94568,5.58,8.68782,0,-2.707,-2.54215,0.0185,-0.48652,0.31139,-0.28,0.26,-0.43866,-0.03452,0.5281,-0.097,0.3217
0.1,1.77717,0.028,-0.00837,-1.01852,5.5,9.37929,-0.0011,-2.655,-2.60945,0.0174,-0.61973,0.34059,-0.28,0.26,-0.43854,-0.03595,0.5398,-0.0673,0.3088
0.2,1.39535,-0.0138,-0.0094,-0.78199,5.1,10.61479,-0.0027,-2.528,-2.70851,0.01542,-0.67672,0.37235,-0.245,0.26,-0.29906,-0.03853,0.5703,-0.0243,0.2726
0.3,0.44591,-0.036,-0.00987,-0.56098,4.8,9.40776,-0.0036,-2.454,-2.47668,0.01278,-0.59339,0.56648,-0.195,0.198,-0.05184,-0.03604,0.5505,-0.0861,0.2112
0.4,0.01645,-0.0518,-0.00923,-0.51281,4.52,8.50343,-0.0043,-2.401,-2.36895,0.01426,-0.30579,0.69911,-0.16,0.154,0.20301,-0.03364,0.5627,-0.1405,0.2005
0.5,0.14826,-0.0635,-0.00823,-0.56716,4.3,8.46463,-0.0048,-2.36,-2.4063,0.01287,-0.24839,0.63188,-0.121,0.119,0.37026,-0.0326,0.568,-0.1444,0.1476
0.75,-0.21246,-0.0862,-0.00738,-0.55384,3.9,7.30176,-0.0057,-2.286,-2.26512,0.0108,-0.01298,0.51577,-0.05,0.057,0.73517,-0.02877,0.5562,-0.0932,0.1794
1,-0.10451,-0.102,-0.00588,-0.65892,3.7,7.08727,-0.0064,-2.234,-2.27668,0.00946,0.06672,0.34048,0,0.013,0.87764,-0.02561,0.5629,-0.0749,0.2053
1.5,-0.48665,-0.12,-0.0063,-0.58222,3.55,6.93264,-0.0073,-2.16,-2.28347,0.00788,-0.02289,0.12468,0.04,-0.049,0.75438,-0.02034,0.5394,-0.0056,0.2411
2,-0.77433,-0.12,-0.0063,-0.58222,3.55,6.64496,-0.0073,-2.16,-2.28347,0.00788,-0.02289,0.12468,0.04,-0.049,0.75438,-0.02034,0.5394,-0.0056,0.2411
3,-1.30916,-0.1726,-0.00553,-0.57009,3.5,5.05488,-0.0089,-2.033,-2.0305,-0.00265,-0.20537,0.14593,0.04,-0.156,0.61545,-0.01673,0.5701,0.0934,0.2406
