     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 50.00,  50.47, 5.10, 5.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  52.01, 5.30, 5.32,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04
 50.00,  53.41, 5.50, 5.51,  0.15,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.15
 50.00,  54.04, 5.70, 5.71,  0.29,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.27
 50.00,  54.28, 5.90, 5.90,  0.45,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.29,  0.16
 50.00,  53.95, 6.10, 6.10,  0.76,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.74,  0.02
 50.00,  54.13, 6.30, 6.30,  1.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.05,     0
 50.00,  54.05, 6.50, 6.50,  1.36,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.51,  0.85,     0
 50.00,  54.11, 6.70, 6.70,  1.75,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.46,  0.29,     0
 50.00,  53.94, 6.90, 6.90,  2.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,  2.11,     0,     0
 50.00,  54.18, 7.10, 7.10,  2.65,     0,     0,     0,     0,     0,     0,     0,     0,     0,  2.65,     0,     0
 70.00,  60.78, 5.50, 5.55,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  62.43, 5.70, 5.72,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.05
 70.00,  64.26, 5.90, 5.91,  0.17,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.17
 70.00,  65.74, 6.10, 6.11,  0.39,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.05,  0.34
 70.00,  66.90, 6.30, 6.30,  0.61,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.33,  0.27
 70.00,  67.59, 6.50, 6.51,  0.91,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.71,  0.20
 70.00,  68.04, 6.70, 6.70,  1.21,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.16,  0.05
 70.00,  67.73, 6.90, 6.90,  1.61,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.44,  1.17,     0
 70.00,  68.03, 7.10, 7.10,  1.91,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.18,  0.73,     0
 90.00,  81.16, 6.10, 6.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  82.12, 6.30, 6.32,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04
 90.00,  85.04, 6.50, 6.50,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.11
 90.00,  86.94, 6.70, 6.71,  0.23,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,  0.22
 90.00,  87.27, 6.90, 6.91,  0.38,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.20,  0.18
 90.00,  87.55, 7.10, 7.10,  0.54,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.46,  0.08
110.00, 102.27, 6.70, 6.74,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
110.00, 104.19, 6.90, 6.92,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04
110.00, 106.43, 7.10, 7.11,  0.09,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09
130.00, 122.10, 7.10, 7.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
