T,           C1,       C2,  C3,        C4,      C5,       C6, sigma
PGV,   38.93484, -2.83525, 5.3,  -8.54137, 0.81287, -0.14409, 0.449
PGA,   51.14649, -3.57103, 5.5, -10.59901, 0.82422, -0.12837,   0.8
0.01,  51.52443, -3.61327, 5.5, -10.66384, 0.83166, -0.12816,   0.8
0.02,  50.09983, -3.58159, 5.4, -10.50493, 0.83123, -0.11897,   0.8
0.03,  57.97868, -4.17019, 5.5, -11.65156, 0.91463, -0.10812,   0.8
0.05,  62.08216, -4.23285, 5.6, -12.16202, 0.91183, -0.10505,   0.8
0.075,        0,        0,   0,         0,       0,        0,   0.8
0.1,   71.43771, -4.06123, 5.9, -13.19303, 0.85325, -0.12811,   0.8
0.15,  67.98064, -3.20709, 6.0, -12.52122, 0.71605, -0.15554,   0.8
0.2,   67.73399, -2.80825, 6.1, -12.37446, 0.65295, -0.18027,   0.8
0.25,  63.14175, -2.35722, 6.1, -11.69920, 0.58910, -0.19799,   0.8
0.3,   57.95681, -1.92831, 6.1, -10.95883, 0.53184, -0.22169,   0.8
0.4,   52.11226, -1.49083, 6.1, -10.14325, 0.47670, -0.25038,   0.8
0.5,   47.53404, -1.20048, 6.1,  -9.52729, 0.44397, -0.27306,   0.8
0.75,  44.55770,  -.86527, 6.2,  -9.13144, 0.40982, -0.30304,   0.8
1.0,   37.99058,  -.39601, 6.2,  -8.27053, 0.35640, -0.31746,   0.8
1.5,   28.17415,  0.28135, 6.2,  -7.01483, 0.28296, -0.32196,   0.8
2.0,   20.33703,  0.67544, 6.1,  -6.02319, 0.24061, -0.31542,   0.8
3.0,   10.20900,  1.28757, 6.0,  -4.75429, 0.17465, -0.29404,   0.8
4.0,          0,        0,   0,         0,       0,        0,   0.8
5.0,   -2.19341,  1.87567, 5.7,  -3.25694, 0.11873, -0.24647,   0.8
7.5,          0,        0,   0,         0,       0,        0,   0.8
10.0,  -9.22402,  1.94021, 5.4,  -2.69597, 0.14582, -0.15966,   0.8
