T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,    2.23924,   0.88904, 5.7,  -4.32670, 0.29496, -0.14503
7.5,           0,         0,   0,         0,       0,        0
5.0,     4.97610,   1.26923, 5.8,  -4.27010, 0.20407, -0.22666
4.0,           0,         0,   0,         0,       0,        0
3.0,    10.39555,   1.40754, 5.9,  -4.75552, 0.15144, -0.26862
2.0,    17.88831,   1.30809, 6.0,  -5.63213, 0.14066, -0.28729
1.5,    29.04721,   0.80828, 6.2,  -7.06492, 0.20046, -0.30768
1.0,    70.86868,  -2.72757, 6.6, -12.54106, 0.67623, -0.35302
0.75,  106.11160,  -6.43004, 6.8, -17.05878, 1.16334, -0.35750
0.5,   167.80150, -12.39433, 7.1, -24.73777, 1.91219, -0.32696
0.4,   162.43070, -12.23821, 7.0, -24.23815, 1.90310, -0.30798
0.3,   182.14450, -14.54356, 7.0, -26.93524, 2.21379, -0.28892
0.25,  218.53920, -18.39985, 7.1, -31.56796, 2.70736, -0.26152
0.2,   229.63580, -19.84729, 7.1, -33.07245, 2.90063, -0.23693
0.15,  221.03660, -19.64746, 7.0, -32.25693, 2.90152, -0.19915
0.10,  199.45500, -18.55872, 6.8, -29.97464, 2.81452, -0.15835
0.075,         0,         0,   0,         0,       0,        0
0.05,  127.56000, -12.18776, 6.3, -20.98351, 2.02746, -0.12309
0.03,  101.24280,  -9.51463, 6.1, -17.44776, 1.66844, -0.13768
0.02,  104.96560,  -9.60834, 6.2, -17.85769, 1.66995, -0.15902
0.01,  102.08580,  -9.21284, 6.2, -17.42784, 1.61145, -0.16875
PGA,   101.74880,  -9.15899, 6.2, -17.37388, 1.60314, -0.16908
PGV,    49.26893,  -3.53262, 5.6,  -9.70275, 0.87669, -0.18271
