T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,  -10.49826,   2.09582, 5.4,  -2.51426, 0.12288, -0.16307
7.5,           0,         0,   0,         0,       0,        0
5.0,    -3.07494,   1.97375, 5.7,  -3.14119, 0.10461, -0.24902
4.0,           0,         0,   0,         0,       0,        0
3.0,     9.83182,   1.28979, 6.0,  -4.73407, 0.17553, -0.29387
2.0,    19.75484,   0.70839, 6.1,  -5.96460, 0.23664, -0.31617
1.5,    27.73978,   0.29543, 6.2,  -6.97664, 0.28134, -0.32269
1.0,    37.47560,  -0.37858, 6.2,  -8.21498, 0.35451, -0.31819
0.75,   44.11293,  -0.87037, 6.2,  -9.08773, 0.41153, -0.30435
0.5,    47.47013,  -1.27662, 6.1,  -9.53965, 0.45639, -0.27493
0.4,    53.04236,  -1.78513, 6.1, -10.32908, 0.52354, -0.25306
0.3,    59.67915,  -2.38283, 6.1, -11.27705, 0.60363, -0.22401
0.25,   58.74831,  -2.51538, 6.0, -11.19996, 0.62220, -0.19957
0.2,    63.04345,  -2.93681, 6.0, -11.83945, 0.68231, -0.18005
0.15,   69.59005,  -3.60960, 6.0, -12.83070, 0.78093, -0.15297
0.10,   72.01244,  -4.18625, 5.9, -13.33419, 0.87497, -0.12009
0.075,         0,         0,   0,         0,       0,        0
0.05,   64.05569,  -4.18264, 5.6, -12.48718, 0.90190, -0.09087
0.03,   51.68260,  -3.48432, 5.3, -10.81647, 0.81431, -0.08616
0.02,   47.17186,  -3.34137, 5.2, -10.20652, 0.80257, -0.09145
0.01,   51.14855,  -3.75480, 5.4, -10.73373, 0.86222, -0.10771
PGA,    50.38409,  -3.69514, 5.4, -10.60943, 0.85235, -0.10911
PGV,    35.63970,  -2.57346, 5.2,  -8.12670, 0.78163, -0.13717
