T,           b0,        b1,        b2,        b3,        b4,        b5,        b6,        b7,        b8,        a0,        a1,   0.5,    1,    2,    3,    5,     7,    10,    15,    20,    25,    30
PGA,   1.73E-03, -2.07E-04, -6.29E-04,  1.08E-06, -8.24E-05,  7.36E-05, -1.07E-03,  9.08E-04, -2.02E-04, -3.70E-03,  2.30E-04,  0.01, 0.00, 0.00, 0.00, 0.00,  0.02,  0.02,  0.01, -0.01, -0.02, -0.03
0.01,  1.73E-03, -2.07E-04, -6.29E-04,  1.08E-06, -8.24E-05,  7.36E-05, -1.07E-03,  9.08E-04, -2.02E-04, -3.70E-03,  2.30E-04,  0.01, 0.00, 0.00, 0.00, 0.00,  0.02,  0.02,  0.01, -0.01, -0.02, -0.03
0.02,  5.53E-02, -3.77E-02,  2.15E-03, -4.30E-03,  3.21E-03, -3.32E-04, -4.75E-03,  2.52E-03,  2.29E-04, -2.19E-02,  2.11E-03,  0.01, 0.03, 0.04, 0.06, 0.00, -0.06, -0.06, -0.07, -0.08, -0.09, -0.09
0.03,  1.22E-01, -7.02E-02, -2.28E-03, -3.21E-03,  6.91E-05,  9.82E-04, -1.30E-02,  7.82E-03,  2.27E-04, -5.21E-02,  4.60E-03,  0.12, 0.12, 0.12, 0.13, 0.00, -0.14, -0.15, -0.17, -0.17, -0.17, -0.17
0.05,  2.39E-01, -1.06E-01, -2.63E-02, -8.57E-04, -7.43E-03,  4.87E-03, -1.69E-02,  8.08E-03,  1.71E-03, -9.57E-02,  1.31E-03,  0.15, 0.17, 0.17, 0.18, 0.00, -0.21, -0.21, -0.22, -0.22, -0.22, -0.22
0.075, 3.05E-01, -7.32E-02, -7.29E-02,  2.02E-04, -1.64E-02,  1.03E-02, -9.26E-04, -6.40E-03,  4.42E-03, -1.21E-01, -5.79E-03,  0.10, 0.12, 0.15, 0.15, 0.00, -0.16, -0.18, -0.19, -0.20, -0.20, -0.20
0.1,   2.69E-01,  4.18E-03, -1.07E-01,  5.80E-03, -2.49E-02,  1.34E-02,  2.35E-02, -2.37E-02,  5.84E-03, -1.24E-01, -1.08E-02,  0.06, 0.09, 0.10, 0.11, 0.00, -0.14, -0.16, -0.18, -0.18, -0.18, -0.18
0.15,  1.41E-01,  1.00E-01, -1.18E-01,  3.01E-02, -4.09E-02,  1.41E-02,  3.16E-02, -2.47E-02,  3.15E-03, -1.15E-01, -1.14E-02,  0.00, 0.01, 0.03, 0.04, 0.00, -0.10, -0.12, -0.14, -0.14, -0.15, -0.15
0.2,   5.01E-02,  1.45E-01, -1.11E-01,  4.69E-02, -4.77E-02,  1.18E-02,  3.10E-02, -2.29E-02,  2.41E-03, -1.08E-01, -8.85E-03,  0.03, 0.05, 0.07, 0.06, 0.00, -0.10, -0.12, -0.14, -0.14, -0.14, -0.14
0.25,  2.28E-02,  1.43E-01, -9.73E-02,  5.20E-02, -4.70E-02,  9.47E-03,  2.71E-02, -2.02E-02,  1.31E-03, -1.04E-01, -7.35E-03,  0.04, 0.06, 0.08, 0.08, 0.00, -0.09, -0.10, -0.11, -0.12, -0.12, -0.12
0.3,  -1.58E-02,  1.48E-01, -8.83E-02,  5.21E-02, -4.36E-02,  7.33E-03,  3.87E-02, -2.66E-02,  1.76E-03, -1.01E-01, -6.90E-03,  0.02, 0.03, 0.05, 0.06, 0.00, -0.09, -0.11, -0.13, -0.13, -0.13, -0.13
0.4,   2.24E-02,  1.03E-01, -7.41E-02,  4.63E-02, -3.58E-02,  4.65E-03,  3.63E-02, -2.45E-02,  1.18E-03, -1.02E-01, -6.71E-03,  0.00, 0.02, 0.04, 0.05, 0.00, -0.10, -0.11, -0.12, -0.13, -0.13, -0.13
0.5,   3.19E-02,  7.04E-02, -5.57E-02,  4.25E-02, -2.94E-02,  1.88E-03,  3.87E-02, -2.47E-02,  3.13E-04, -1.01E-01, -6.22E-03, -0.01, 0.01, 0.03, 0.05, 0.00, -0.11, -0.13, -0.15, -0.16, -0.17, -0.17
0.75,  1.04E-02,  5.33E-02, -3.72E-02,  4.47E-02, -2.40E-02, -2.40E-03,  3.47E-02, -2.59E-02,  2.90E-03, -1.01E-01, -5.86E-03,  0.08, 0.09, 0.11, 0.13, 0.00, -0.19, -0.23, -0.28, -0.30, -0.32, -0.34
1.0,  -8.84E-02,  8.92E-02, -2.14E-02,  4.98E-02, -2.36E-02, -4.70E-03,  5.02E-02, -3.43E-02,  2.32E-03, -1.02E-01, -7.31E-03,  0.07, 0.08, 0.10, 0.11, 0.00, -0.19, -0.24, -0.29, -0.32, -0.35, -0.37
1.5,  -1.57E-01,  9.33E-02,  3.28E-03,  5.85E-02, -2.36E-02, -8.02E-03,  4.81E-02, -3.30E-02,  2.10E-03, -1.02E-01, -8.75E-03,  0.17, 0.19, 0.22, 0.22, 0.00, -0.27, -0.32, -0.37, -0.40, -0.43, -0.44
2.0,  -2.96E-01,  1.50E-01,  2.09E-02,  7.30E-02, -2.96E-02, -9.95E-03,  5.24E-02, -3.32E-02,  6.86E-04, -1.03E-01, -9.22E-03,  0.25, 0.25, 0.25, 0.26, 0.00, -0.33, -0.37, -0.42, -0.46, -0.49, -0.51
3.0,  -4.07E-01,  1.97E-01,  3.28E-02,  8.35E-02, -3.54E-02, -1.01E-02,  5.57E-02, -2.91E-02, -3.17E-03, -9.63E-02, -1.07E-02,  0.32, 0.32, 0.31, 0.32, 0.00, -0.35, -0.39, -0.43, -0.46, -0.48, -0.50
4.0,  -4.49E-01,  2.07E-01,  4.42E-02,  8.75E-02, -3.59E-02, -1.14E-02,  5.07E-02, -2.43E-02, -4.67E-03, -9.83E-02, -1.37E-02,  0.33, 0.33, 0.34, 0.34, 0.00, -0.36, -0.38, -0.41, -0.43, -0.44, -0.46
5.0,  -4.98E-01,  2.17E-01,  5.36E-02,  9.03E-02, -3.48E-02, -1.29E-02,  5.19E-02, -2.30E-02, -5.68E-03, -9.42E-02, -1.53E-02,  0.38, 0.38, 0.39, 0.38, 0.00, -0.40, -0.42, -0.45, -0.47, -0.49, -0.51
7.5,  -5.25E-01,  2.06E-01,  7.79E-02,  9.88E-02, -3.76E-02, -1.51E-02,  2.91E-02, -4.93E-03, -9.02E-03, -8.95E-02, -1.63E-02,  0.49, 0.49, 0.49, 0.49, 0.00, -0.51, -0.53, -0.55, -0.57, -0.58, -0.59
10.0, -3.89E-01,  1.43E-01,  6.12E-02,  7.14E-02, -2.36E-02, -1.30E-02,  2.33E-02, -5.46E-03, -5.92E-03, -6.89E-02, -1.43E-02,  0.38, 0.39, 0.41, 0.41, 0.00, -0.42, -0.44, -0.47, -0.49, -0.51, -0.52
