T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,   -5.89428,   1.54704, 5.4,  -3.18565, 0.20388, -0.14813
7.5,           0,         0,   0,         0,       0,        0
5.0,     0.82909,   1.53292, 5.7,  -3.69799, 0.16915, -0.23479
4.0,           0,         0,   0,         0,       0,        0
3.0,    10.22099,   1.15948, 5.9,  -4.76276, 0.19303, -0.28367
2.0,    19.13934,   0.72139, 6.0,  -5.85525, 0.23212, -0.30420
1.5,    25.40152,   0.53718, 6.1,  -6.61504, 0.24338, -0.31135
1.0,    32.53355,   0.21408, 6.1,  -7.43641, 0.26362, -0.31210
0.75,   43.69998,  -0.48336, 6.2,  -8.91529, 0.34927, -0.30116
0.5,    47.13694,  -0.88354, 6.1,  -9.38070, 0.39279, -0.27345
0.4,    66.01481,  -2.09548, 6.3, -11.92174, 0.55460, -0.26212
0.3,    84.00746,  -3.74371, 6.4, -14.36503, 0.77954, -0.24890
0.25,   92.99872,  -4.78684, 6.4, -15.65712, 0.92627, -0.23303
0.2,   112.00830,  -6.51004, 6.5, -18.24856, 1.16354, -0.22159
0.15,  138.31690,  -9.24763, 6.6, -21.80543, 1.53773, -0.20243
0.10,  115.28580,  -8.43449, 6.3, -19.10105, 1.46438, -0.16934
0.075,         0,         0,   0,         0,       0,        0
0.05,   96.17582,  -7.83323, 6.0, -16.84412, 1.42371, -0.13404
0.03,   76.95651,  -6.19404, 5.8, -14.21214, 1.20096, -0.13501
0.02,   72.02564,  -5.58468, 5.8, -13.46659, 1.10935, -0.14657
0.01,   69.57445,  -5.26972, 5.8, -13.08968, 1.06122, -0.15310
PGA,    69.33356,  -5.22513, 5.8, -13.04691, 1.05354, -0.15287
PGV,    44.09953,  -3.24840, 5.4,  -9.16765, 0.85807, -0.15093
