T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,    4.37553,   0.77975, 5.8,  -4.59986, 0.30767, -0.14658
7.5,           0,         0,   0,         0,       0,        0
5.0,     6.55163,   1.33405, 5.9,  -4.46379, 0.19195, -0.22300
4.0,           0,         0,   0,         0,       0,        0
3.0,    11.38311,   1.68224, 6.0,  -4.85417, 0.10946, -0.26454
2.0,    30.98126,   0.54258, 6.3,  -7.39710, 0.25264, -0.30809
1.5,    49.92847,  -1.04082, 6.5,  -9.86362, 0.46506, -0.33988
1.0,    84.68634,  -4.87454, 6.7, -14.29627, 0.96980, -0.37189
0.75,  119.73380,  -8.69895, 6.9, -18.67737, 1.45506, -0.35283
0.5,   135.07390,  10.27271, 6.9, -20.71831, 1.65558, -0.32696
0.4,   153.20490,  12.41574, 6.9, -23.23709, 1.95012, -0.32053
0.3,   233.34520,  20.53758, 7.2, -33.22908, 2.97031, -0.28776
0.25,  301.79760,  27.35859, 7.4, -41.47969, 3.79423, -0.24674
0.2,   284.11340,  26.06946, 7.3, -39.59374, 3.66270, -0.21950
0.15,  223.87440,  21.03829, 7.0, -32.65327, 3.09331, -0.18668
0.10,  220.67960,  21.50187, 6.9, -32.60587, 3.19304, -0.13747
0.075,         0,         0,   0,         0,       0,        0
0.05,  138.46650,  13.70573, 6.4, -22.37661, 2.23038, -0.11380
0.03,  109.66910,  10.69246, 6.2, -18.53750, 1.82857, -0.13173
0.02,  104.03920,  -9.92014, 6.2, -17.70504, 1.71552, -0.15300
0.01,  101.61770,  -9.58564, 6.2, -17.34384, 1.66611, -0.16184
PGA,   101.44280,  -9.55060, 6.2, -17.31475, 1.66075, -0.16232
PGV,    52.29073,  -3.78249, 5.7, -10.07493, 0.90801, -0.18440
