T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,   -8.03767,   1.81000, 5.4,  -2.85976, 0.16457, -0.15643
7.5,           0,         0,   0,         0,       0,        0
5.0,    -1.25751,   1.78877, 5.7,  -3.38239, 0.13112, -0.24196
4.0,           0,         0,   0,         0,       0,        0
3.0,     8.15232,   1.40183, 5.9,  -4.45366, 0.15768, -0.28962
2.0,    20.94299,   0.69302, 6.1,  -6.09092, 0.23685, -0.31168
1.5,    25.01453,   0.42709, 6.1,  -6.57384, 0.26243, -0.31979
1.0,    38.35402,  -0.41740, 6.2,  -8.27339, 0.35831, -0.31925
0.75,   44.88622,  -0.88836, 6.2,  -9.13036, 0.41238, -0.30586
0.5,    48.98657,  -1.46751, 6.1,  -9.70979, 0.48418, -0.27903
0.4,    54.65042,  -2.00377, 6.1, -10.51665, 0.55588, -0.25843
0.3,    61.09278,  -2.53809, 6.1, -11.42838, 0.62602, -0.23021
0.25,   74.60570,  -3.59587, 6.2, -13.28874, 0.77046, -0.21288
0.2,    80.00266,  -4.15288, 6.2, -14.07377, 0.84958, -0.19862
0.15,   98.80550,  -5.92063, 6.3, -16.69061, 1.09728, -0.18137
0.10,  103.48240,  -7.16712, 6.2, -17.57100, 1.29274, -0.15638
0.075,         0,         0,   0,         0,       0,        0
0.05,   80.43280,  -6.40826, 5.8, -14.76011, 1.23307, -0.12840
0.03,   71.87675,  -5.81419, 5.7, -13.60719, 1.15756, -0.12684
0.02,   61.90769,  -4.87518, 5.6, -12.16475, 1.02174, -0.13495
0.01,   64.88462,  -5.00740, 5.7, -12.54193, 1.03547, -0.14146
PGA,    64.73113,  -4.98090, 5.7, -12.51300, 1.03056, -0.14120
PGV,    39.64739,  -2.89068, 5.3,  -8.59420, 0.81631, -0.14725
