name,                              lon,      lat
CCP,                        -118.41302, 34.05489
COO,                        -118.21639, 33.89604
LADT,                       -118.25713, 34.05204
LAPD,                       -118.12500, 34.55700
P22,                        -118.56609, 34.18277
PAS,                        -118.17119, 34.14843
S429,                       -118.23333, 33.80858
S603,                       -117.53735, 34.10275
S684,                       -117.40266, 33.93515
S758,                       -117.53532, 33.37562
SBSM,                       -117.29201, 34.06499
SMCA,                       -118.48939, 34.00909
STNI,                       -118.17881, 33.93088
WNGC,                       -118.06530, 34.04182
S344,                       -118.39576, 33.93587
S345,                       -118.36942, 33.97525
S346,                       -118.34305, 34.01462
S347,                       -118.31666, 34.05399
S348,                       -118.29024, 34.09336
S349,                       -118.26380, 34.13272
S351,                       -118.21085, 34.21142
S353,                       -118.15780, 34.29010
S383,                       -118.38029, 33.77382
S385,                       -118.32766, 33.85257
S387,                       -118.27493, 33.93130
S388,                       -118.24853, 33.97065
S389,                       -118.22211, 34.01000
S391,                       -118.16919, 34.08869
S393,                       -118.11618, 34.16735
S395,                       -118.06307, 34.24599
S470,                       -118.13910, 33.76452
S472,                       -118.08625, 33.84317
S474,                       -118.03331, 33.92180
S476,                       -117.98027, 34.00041
S478,                       -117.92713, 34.07899
S480,                       -117.87389, 34.15755
S518,                       -117.83275, 34.03470
S520,                       -117.77945, 34.11322
S311,                       -118.35851, 34.17667
S275,                       -118.45331, 34.22055
P3,                         -118.42409, 34.24939
S238,                       -118.54821, 34.26435
P2,                         -118.46393, 34.28563
P21,                        -118.58717, 34.20995
S510,                       -118.04497, 33.72038
S512,                       -117.99206, 33.79899
S514,                       -117.93905, 33.87758
S516,                       -117.88595, 33.95615
S550,                       -117.95093, 33.67617
S552,                       -117.89795, 33.75474
S554,                       -117.84489, 33.83329
S556,                       -117.79173, 33.91182
S591,                       -117.85698, 33.63189
S593,                       -117.80395, 33.71042
S595,                       -117.75082, 33.78893
S599,                       -117.64428, 33.94589
S601,                       -117.59086, 34.02433
S605,                       -117.48374, 34.18115
S644,                       -117.44314, 34.05816
S646,                       -117.38947, 34.13652
S647,                       -117.36259, 34.17569
S688,                       -117.29530, 34.09181
S689,                       -117.26840, 34.13096
