name,                            lon,    lat
Adak AK,                     -176.70,  51.90
Anchorage AK,                -149.90,  61.20
Anchorage Atc AK,            -149.90,  61.20
Barrow AK,                   -156.80,  71.30
Bethel AK,                   -161.80,  60.80
Chitina AK,                  -144.50,  61.50
Delta Junction AK,           -145.70,  64.00
Dillingham AK,               -158.50,  59.10
Dutch Harbor AK,             -166.60,  53.90
Evansville AK,               -151.50,  66.90
Fairbanks AK,                -147.70,  64.90
Fairbanks Atc AK,            -147.70,  64.90
Gakona AK,                   -145.30,  62.30
Galena AK,                   -156.90,  64.80
Glennallen AK,               -145.60,  62.10
Haines AK,                   -135.50,  59.30
Homer AK,                    -151.50,  59.70
Juneau AK,                   -134.40,  58.30
Kenai AK,                    -151.30,  60.60
Ketchikan AK,                -131.70,  55.40
Knik Fairview AK,            -149.70,  61.50
Kodiak AK,                   -152.40,  57.80
Kotzebue AK,                 -162.60,  66.90
Lakes AK,                    -149.40,  61.60
McGrath AK,                  -155.60,  63.00
Nome AK,                     -165.40,  64.50
Paxson AK,                   -145.50,  63.10
Prudhoe Bay AK,              -148.40,  70.30
Sitka AK,                    -135.40,  57.10
Sleetmute AK,                -157.20,  61.70
Tok AK,                      -143.00,  63.30
Unalaska AK,                 -166.60,  53.90
Valdez AK,                   -146.40,  61.20
Wasilla AK,                  -149.50,  61.60
Yakutat AK,                  -139.70,  59.60
Atmore AL,                    -87.50,  31.00
Birmingham AL,                -86.80,  33.50
El Dorado AR,                 -92.70,  33.20
Greenbrier AR,                -92.40,  35.20
Little Rock AR,               -92.30,  34.75
Apia Upolu Samoa AS,         -171.80, -13.80
Aua AS,                      -170.70, -14.30
Futiga AS,                   -170.80, -14.40
Leone AS,                    -170.80, -14.30
Tutuila Central AS,          -170.70, -14.30
Tutuila Southwest AS,        -170.80, -14.30
Vailoatai AS,                -170.80, -14.40
Vaitogi AS,                  -170.70, -14.40
Grand Canyon Village AZ,     -112.15,  36.05
Palo Verde AZ,               -112.85,  33.40
Phoenix AZ,                  -112.10,  33.45
Tucson AZ,                   -110.95,  32.20
Bakersfield CA,              -119.35,  35.35
Big Sur CA,                  -121.75,  36.25
Brawley CA,                  -115.55,  33.00
Century City CA,             -118.40,  34.05
Coalinga CA,                 -120.40,  36.15
Concord CA,                  -122.00,  37.95
Cucamonga CA,                -117.55,  34.20
Death Valley CA,             -116.85,  36.35
Diablo Canyon CA,            -120.85,  35.20
Eureka CA,                   -124.20,  40.80
Fresno CA,                   -119.75,  36.75
Irvine CA,                   -117.80,  33.65
Long Beach CA,               -118.20,  33.80
Los Angeles CA,              -118.25,  34.05
Malibu West CA,              -118.95,  34.05
Mammoth Lakes CA,            -119.00,  37.65
Monterey CA,                 -121.90,  36.60
Morgan Hill CA,              -121.65,  37.15
Northridge CA,               -118.55,  34.20
Oakland CA,                  -122.25,  37.80
Palmdale CA,                 -118.00,  34.50
Palm Springs CA,             -116.55,  33.85
