name,                              lon,      lat,    vs30, z1p0, z2p5
CCP,                        -118.41302, 34.05489,   387.0, 0.39, 2.96
COO,                        -118.21639, 33.89604,   280.0, 0.73, 4.28
LADT,                       -118.25713, 34.05204,   390.0, 0.31, 2.08
LAPD,                       -118.12500, 34.55700,   515.0, 0.00, 0.00
P22,                        -118.56609, 34.18277,   280.0, 0.22, 2.27
PAS,                        -118.17119, 34.14843,   748.0, 0.01, 0.31
S429,                       -118.23333, 33.80858,   280.0, 0.71, 2.83
S603,                       -117.53735, 34.10275,   354.0, 0.19, 0.43
S684,                       -117.40266, 33.93515,   387.0, 0.15, 0.31
S758,                       -117.53532, 33.37562,   390.0, 0.00, 1.19
SBSM,                       -117.29201, 34.06499,   280.0, 0.33, 1.77
SMCA,                       -118.48939, 34.00909,   387.0, 0.59, 2.47
STNI,                       -118.17881, 33.93088,   280.0, 0.88, 5.57
WNGC,                       -118.06530, 34.04182,   280.0, 0.51, 2.44
S344,                       -118.39576, 33.93587,   387.0, 0.69, 2.49
S345,                       -118.36942, 33.97525,   387.0, 0.58, 3.01
S346,                       -118.34305, 34.01462,   280.0, 0.65, 4.16
S347,                       -118.31666, 34.05399,   280.0, 0.31, 2.05
S348,                       -118.29024, 34.09336,   387.0, 0.31, 1.93
S349,                       -118.26380, 34.13272,   280.0, 0.15, 0.49
S351,                       -118.21085, 34.21142,   349.0, 0.09, 0.31
S353,                       -118.15780, 34.29010,   748.0, 0.02, 0.31
S383,                       -118.38029, 33.77382,   390.0, 0.00, 1.46
S385,                       -118.32766, 33.85257,   387.0, 0.76, 3.14
S387,                       -118.27493, 33.93130,   387.0, 0.66, 3.97
S388,                       -118.24853, 33.97065,   280.0, 0.83, 5.61
S389,                       -118.22211, 34.01000,   280.0, 0.60, 3.98
S391,                       -118.16919, 34.08869,   390.0, 0.31, 2.11
S393,                       -118.11618, 34.16735,   387.0, 0.15, 1.27
S395,                       -118.06307, 34.24599,   748.0, 0.00, 0.00
S470,                       -118.13910, 33.76452,   387.0, 0.64, 2.93
S472,                       -118.08625, 33.84317,   280.0, 0.82, 4.79
S474,                       -118.03331, 33.92180,   387.0, 0.63, 3.36
S476,                       -117.98027, 34.00041,   390.0, 0.31, 1.96
S478,                       -117.92713, 34.07899,   280.0, 0.26, 2.65
S480,                       -117.87389, 34.15755,   748.0, 0.02, 1.25
S518,                       -117.83275, 34.03470,   390.0, 0.15, 1.14
S520,                       -117.77945, 34.11322,   349.0, 0.15, 0.31
S311,                       -118.35851, 34.17667,   280.0, 0.33, 1.16
S275,                       -118.45331, 34.22055,   280.0, 0.35, 1.85
P3,                         -118.42409, 34.24939,   280.0, 0.35, 2.33
S238,                       -118.54821, 34.26435,   387.0, 0.15, 2.62
P2,                         -118.46393, 34.28562,   455.0, 0.15, 3.50
P21,                        -118.58717, 34.20995,   280.0, 0.22, 2.36
S510,                       -118.04497, 33.72038,   387.0, 0.58, 3.16
S512,                       -117.99206, 33.79899,   280.0, 0.72, 4.72
S514,                       -117.93905, 33.87758,   387.0, 0.62, 4.24
S516,                       -117.88595, 33.95615,   390.0, 0.31, 2.21
S550,                       -117.95093, 33.67617,   280.0, 0.44, 4.04
S552,                       -117.89795, 33.75474,   280.0, 0.47, 4.84
S554,                       -117.84489, 33.83329,   280.0, 0.33, 2.26
S556,                       -117.79173, 33.91182,   390.0, 0.18, 2.38
S591,                       -117.85698, 33.63189,   390.0, 0.00, 2.27
S593,                       -117.80395, 33.71042,   280.0, 0.31, 1.80
S595,                       -117.75082, 33.78893,   515.0, 0.00, 1.54
S599,                       -117.64428, 33.94589,   387.0, 0.19, 0.95
S601,                       -117.59086, 34.02433,   354.0, 0.20, 0.31
S605,                       -117.48374, 34.18115,   748.0, 0.02, 1.07
S644,                       -117.44314, 34.05816,   280.0, 0.17, 0.31
S646,                       -117.38947, 34.13652,   280.0, 0.16, 0.31
S647,                       -117.36259, 34.17569,   280.0, 0.31, 1.22
S688,                       -117.29530, 34.09181,   280.0, 0.29, 1.45
S689,                       -117.26840, 34.13096,   280.0, 0.20, 0.31
