name,                            lon,    lat
Barbers Point HI,            -158.10,  21.30
Barking Sands HI,            -159.76,  22.06
Bradshaw Airfield HI,        -155.56,  19.76
Diamond Head HI,             -157.80,  21.26
Haleakala Crater HI,         -156.26,  20.70
Hanapepe HI,                 -159.60,  21.90
Hana HI,                     -155.98,  20.76
Hawaiian Ocean View HI,      -155.78,  19.10
Hilo Atc HI,                 -155.10,  19.70
Hilo HI,                     -155.06,  19.70
Honolulu Atc HI,             -157.86,  21.30
Honolulu HI,                 -157.86,  21.30
Kaheawa Wind HI,             -156.56,  20.80
Kahuku HI,                   -157.94,  21.68
Kahului HI,                  -156.50,  20.90
Kailua Kona HI,              -156.00,  19.66
Kaneohe HI,                  -157.80,  21.40
Kaunakakai HI,               -157.00,  21.10
Kihei HI,                    -156.46,  20.78
Kilauea HI,                  -155.26,  19.40
Lahaina HI,                  -156.68,  20.88
Laie HI,                     -157.96,  21.66
Lanai City HI,               -156.96,  20.80
Lihue HI,                    -159.36,  21.96
Marine Corps Base HI,        -157.76,  21.46
Mauna Kea HI,                -155.46,  19.80
Ocean View HI,               -155.76,  19.10
Pearl Harbor HI,             -157.96,  21.36
Pepeekeo HI,                 -155.10,  19.84
Princeville HI,              -159.48,  22.22
Puuwai HI,                   -160.20,  21.90
Volcano HI,                  -155.22,  19.44
Wahiawa HI,                  -158.00,  21.50
Waianae HI,                  -158.20,  21.46
Waikoloa Village HI,         -155.78,  19.94
Waimea HI,                   -155.70,  20.00
Waipahu HI,                  -158.00,  21.40
